Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
DDX11L1,0,0,0,1,1,0,0,0
WASH7P,67,98,66,104,111,84,133,300
MIR6859-1,0,0,0,0,0,0,0,0
MIR1302-2HG,0,1,0,0,0,0,0,0
FAM138A,1,0,0,1,2,1,0,0
OR4G4P,2,2,0,0,0,1,0,0
OR4G11P,3,3,0,0,0,0,2,0
OR4F5,2,1,0,0,2,3,0,0
RP11-34P13.7,2,5,2,3,9,2,1,3
CICP27,0,0,34,18,11,7,29,16
RP11-34P13.15,82,45,520,850,398,260,234,360
RP11-34P13.16,57,36,463,695,337,172,192,225
RP11-34P13.14,3,0,13,37,21,9,15,9
RP11-34P13.13,9,15,52,110,44,14,185,15
RNU6-1100P,0,0,0,1,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0
ABC7-43046700E7.1,3,4,6,7,1,1,1,0
RP11-34P13.18,299,347,274,265,260,368,515,595
MIR6859-2,0,0,0,0,0,0,0,0
AP006222.2,6,32,82,8,77,23,164,205
RPL23AP24,1,0,2,0,3,1,2,6
RP5-857K21.15,0,2,0,0,0,0,0,0
RP4-669L17.2,2,0,0,0,0,0,0,0
RP4-669L17.10,10,20,33,40,23,28,150,120
WBP1LP7,1,0,1,0,2,0,1,0
OR4F29,1,2,1,0,1,4,1,0
CICP7,0,1,0,0,3,0,2,0
RP4-669L17.8,1,0,1,5,1,2,11,4
U6,0,0,0,0,0,0,0,0
RP5-857K21.4,5,4,2,3,9,8,14,3
RP5-857K21.2,0,0,0,0,0,0,0,0
MTND1P23,200,311,82,26,69,159,24,45
MTND2P28,32240,47507,10489,5881,12559,14561,8675,8077
MTCO1P12,3144,43503,1822,1111,1321,1865,310,280
MTCO2P12,844,903,250,71,136,268,88,138
MTATP8P1,289,384,75,17,31,39,27,28
MTATP6P1,104894,293460,38222,26154,35920,50835,33269,21904
MTCO3P12,2979,758,164,97,99,314,103,137
WBP1LP6,4,0,0,0,1,0,0,0
OR4F16,3,1,0,1,1,0,0,0
RP11-206L10.17,0,0,0,0,0,0,0,0
CICP3,20,10,6,1,5,4,25,38
RP11-206L10.2,292,369,433,371,556,439,982,635
RNU6-1199P,0,1,0,0,0,0,0,0
RP11-206L10.4,1,6,1,0,0,0,0,0
RP11-206L10.9,145,75,74,52,55,59,103,137
RP11-206L10.8,9,5,16,5,32,5,26,13
FAM87B,9,13,12,20,5,7,29,16
LINC01128,558,2656,1067,830,1114,1165,1589,1553
LINC00115,100,248,67,163,37,48,349,566
FAM41C,3,4,0,5,1,4,6,1
TUBB8P11,3,1,4,0,0,2,4,0
FAM166AP3,0,1,0,0,0,2,0,0
RP11-54O7.16,0,1,6,2,0,0,1,2
RP11-54O7.1,10,32,12,6,2,15,7,34
RP11-54O7.2,0,0,0,0,0,0,0,0
RP11-54O7.3,73,210,48,18,21,15,12,42
SAMD11,94,511,95,136,88,120,47,145
NOC2L,3029,3054,3440,3174,6272,4448,6037,3746
KLHL17,509,853,915,1062,774,807,570,323
PLEKHN1,29,40,82,133,60,129,14,7
PERM1,15,60,48,32,17,39,7,12
RP11-54O7.17,20,33,53,91,222,612,79,84
HES4,34,151,627,568,253,822,526,119
ISG15,612,2377,1132,1118,319,229,1495,398
RP11-54O7.10,0,0,0,0,0,1,3,0
RP11-54O7.11,0,2,7,5,4,1,7,2
AGRN,2047,4889,7668,5292,11165,7573,6733,2633
RP11-465B22.3,10,127,63,56,129,151,13,6
RP11-54O7.18,5,20,0,10,3,7,2,1
RNF223,11,3,70,15,0,4,0,5
C1orf159,925,889,984,829,944,651,1332,1493
LINC01342,2,14,5,7,4,39,3,1
MIR200B,1,0,1,0,8,4,0,0
MIR200A,0,1,1,0,4,3,0,0
MIR429,0,0,1,0,5,5,0,0
RP11-465B22.8,6,8,145,91,846,1110,1,0
TTLL10-AS1,4,8,24,377,20,26,0,4
TTLL10,8,9,63,1581,51,44,1,9
TNFRSF18,6,14,88,316,8,20,5,10
TNFRSF4,8,12,244,289,25,60,73,37
SDF4,5443,9570,8397,7929,10438,8405,13645,10353
B3GALT6,1150,1105,1432,382,1560,2180,1566,836
C1QTNF12,31,70,37,49,26,41,25,42
RP5-902P8.12,17,28,22,45,13,6,27,37
UBE2J2,1500,2500,2698,2034,4006,2976,2673,2924
LINC01786,15,53,55,19,22,35,255,119
SCNN1D,142,902,370,256,395,475,2657,2989
ACAP3,2212,4314,4315,3057,3404,4115,8404,7927
MIR6726,0,0,0,0,0,0,0,0
PUSL1,340,440,531,357,1103,1091,692,557
INTS11,3251,4602,5416,5765,7766,9486,17486,19309
MIR6727,0,0,0,1,0,0,0,1
RP5-890O3.9,79,131,155,239,231,259,620,579
CPTP,2028,5398,1868,909,1994,2249,1452,1824
TAS1R3,97,100,81,50,25,31,50,113
DVL1,2873,5900,5093,4192,10803,9827,7707,8269
MIR6808,0,1,0,0,0,0,0,0
MXRA8,329,1137,5453,5030,2449,1030,25170,23918
AURKAIP1,4463,5208,3290,2163,5063,4740,2830,2839
NDUFB4P8,4,4,6,1,2,6,0,3
CCNL2,24639,25819,20006,13616,20368,15567,37538,39213
RP4-758J18.2,1367,2724,1260,519,1169,960,1013,595
MRPL20,2882,2216,2743,1734,4436,2815,3126,3183
RP4-758J18.13,138,127,109,99,154,148,260,365
ANKRD65,38,85,802,586,863,742,1497,725
RP4-758J18.7,1,1,9,3,8,9,49,32
TMEM88B,4,7,3,4,3,0,4,12
LINC01770,65,27,45,53,63,38,84,57
VWA1,10444,3526,2091,1382,5294,2976,3878,2469
ATAD3C,688,725,403,113,1134,479,381,329
ATAD3B,1596,1359,1433,1959,1555,1867,2732,2863
ATAD3A,1729,1357,972,1098,2102,2802,1862,1258
TMEM240,9,46,157,100,35,44,554,872
SSU72,4590,5052,8800,4192,9557,8840,7316,6733
RP5-832C2.5,46,29,62,12,68,34,71,38
RP11-345P4.11,1,2,0,0,0,0,0,0
FNDC10,12,17,325,28,50,45,804,335
RP11-345P4.9,202,279,635,263,482,387,1517,1640
MIB2,795,3798,3450,3835,2617,3701,9949,10600
MMP23B,9,28,72,90,17,7,319,254
CDK11B,1339,1553,3030,2438,2969,2269,3867,3125
RP11-345P4.10,0,0,1,0,2,2,0,2
SLC35E2B,1767,2411,4145,5333,3250,4138,10145,10690
RP11-345P4.6,52,80,72,560,98,43,464,351
MMP23A,15,56,39,21,19,30,41,23
CDK11A,1269,1827,2074,2658,1694,1341,2686,2445
RP1-283E3.4,115,448,388,520,678,335,2219,1177
SLC35E2,124,235,418,416,394,251,1320,776
NADK,5623,8933,6985,6830,5229,4079,5866,4130
GNB1,4268,8522,21873,16670,11102,10148,28665,19908
RP1-140A9.1,0,3,7,3,1,23,68,72
CALML6,10,147,32,21,56,78,18,56
TMEM52,139,298,64,109,8644,7163,110,229
CFAP74,39,18,26,2817,3,0,6,3
RP11-547D24.1,0,4,0,2,1,0,0,3
GABRD,5,4,56,30,6,3,35,9
RP11-547D24.3,1,5,2,1,3,0,0,0
PRKCZ,325,780,3424,1159,1480,1075,327,301
RP5-892K4.1,11,20,20,8,9,9,4,6
PRKCZ-AS1,123,344,453,240,137,120,460,656
FAAP20,913,2212,1850,1181,1726,1718,2839,3080
RP11-181G12.4,2,21,0,1,1,4,4,6
SKI,2039,5035,9089,8807,3705,2487,14602,11897
MORN1,159,234,205,836,317,196,1276,1640
RP4-713A8.1,0,1,1,11,3,1,5,28
RP4-740C4.5,75,103,92,211,129,128,429,552
RP4-740C4.7,23,43,15,38,23,20,59,65
RER1,5570,7923,5785,3723,7605,6088,8595,6924
PEX10,483,623,599,216,1359,848,1489,1146
PLCH2,403,1256,304,768,700,1607,69,60
RP3-395M20.2,4,5,1,0,2,15,0,0
RP3-395M20.3,13,14,3,2,6,26,1,0
PANK4,979,1295,1622,1938,1263,826,2358,1640
HES5,4,4,1,6,6,4,8,4
RP3-395M20.12,100,86,230,154,80,171,14,23
RP3-395M20.8,188,625,804,942,481,167,68,142
TNFRSF14,2712,6115,7708,5478,2508,1409,4254,8407
RP3-395M20.7,5,5,19,14,6,0,28,51
RP3-395M20.9,0,3,17,28,4,11,13,63
FAM213B,461,497,1785,848,857,456,1138,1303
MMEL1,3,11,234,66,28,17,9,17
RP13-436F16.1,0,0,0,0,0,0,0,0
TTC34,53,25,193,539,204,107,299,269
ABC14-1188822O7.1,0,0,0,86,2,0,0,0
RP11-740P5.2,0,0,0,0,0,0,0,0
RP11-740P5.3,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,2,2,2,2,0
LINC00982,2,33,432,297,3620,2906,220,560
PRDM16,14,44,912,855,2422,1100,359,532
MIR4251,0,0,0,0,0,0,0,0
RP1-163G9.2,0,0,1,0,1,4,0,0
RP11-193J6.1,0,0,0,3,4,10,2,0
RP11-22L13.1,1,0,4,18,6,6,12,2
ARHGEF16,640,675,814,394,1964,1800,505,304
RP11-168F9.2,0,5,3,3,7,3,0,0
MEGF6,91,1377,5740,4031,2134,792,3028,3126
MIR551A,0,0,0,0,0,0,0,0
RP11-46F15.2,14,15,20,35,12,30,109,141
TPRG1L,3434,7721,4728,2136,5380,4095,6162,5717
WRAP73,570,693,1361,920,1482,1037,1676,1442
TP73,2,9,13,1022,52,36,78,94
RP5-1092A11.5,0,2,1,2,2,0,0,0
RP5-1092A11.2,0,0,0,4,0,0,0,0
TP73-AS1,1069,2444,3062,1840,2150,1946,7862,7423
CCDC27,0,2,0,2,4,0,45,52
SMIM1,39,259,119,35,199,126,190,346
LRRC47,2102,3901,3303,1661,6759,5703,6477,5247
RN7SL574P,9,8,4,7,7,15,8,53
RP1-286D6.5,68,66,55,22,85,60,136,113
CEP104,1466,1897,2217,1503,2243,1890,2898,2718
DFFB,432,884,551,382,960,629,1425,1596
C1orf174,820,1796,1619,864,1631,1094,2221,1923
LINC01134,35,59,38,12,11,38,16,7
LINC01346,0,0,0,0,0,0,7,0
LINC01345,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,1,0,0
LINC01777,0,2,0,0,0,0,0,0
RP1-37J18.1,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,2,0,0,0
AJAP1,36,38,1630,72,574,600,2158,3212
RP11-542C10.1,0,0,0,0,0,0,0,0
RP1-58B11.1,0,0,0,0,104,178,0,0
RP3-491M17.1,0,0,0,0,0,0,0,0
RP11-154H17.1,0,0,0,0,2,0,0,6
MIR4417,0,0,0,0,0,0,0,0
MIR4689,0,0,0,0,0,0,0,0
NPHP4,413,542,1269,1528,905,511,2645,1291
KCNAB2,425,590,7086,5347,1134,389,1684,1059
CHD5,7,11,107,53,76,86,68,165
RPL22,5872,6366,10859,9673,17789,14733,63438,67896
RP1-120G22.11,6,29,13,0,34,42,11,17
RNF207,563,2416,402,375,1076,1479,1863,1869
ICMT,1303,2405,3859,2522,4244,2697,4097,2029
LINC00337,20,35,0,0,0,0,0,0
HES3,0,0,0,0,0,0,0,0
GPR153,80,145,1101,797,260,186,2830,2235
ACOT7,355,1257,1315,457,783,689,1187,809
HES2,7,1,48,163,0,3,0,0
ESPN,1454,7619,31,458,19,16,27,17
MIR4252,0,0,0,0,0,0,0,0
RP1-202O8.2,0,2,0,1,0,1,0,0
TNFRSF25,83,142,390,350,296,163,1395,1413
PLEKHG5,196,129,1081,638,959,470,4648,2344
NOL9,854,1235,1419,590,2164,1723,2094,2137
RNU6-731P,0,0,0,0,0,0,1,0
RP11-58A11.2,8,0,7,2,16,2,3,0
TAS1R1,5,9,23,5,11,5,103,38
ZBTB48,1185,3138,1592,1466,1007,1332,3037,3432
KLHL21,1236,3538,4721,3942,12509,8600,10990,10436
PHF13,333,1387,1305,1777,1536,1262,3798,3919
THAP3,265,1195,823,822,1203,1137,1371,1799
DNAJC11,1184,1290,1651,921,1939,1468,3353,2032
LINC01672,0,0,0,0,0,0,0,2
RP11-312B8.1,0,4,4,1,2,4,5,4
CAMTA1,703,1074,1510,1867,938,939,1756,1816
RP11-312B8.2,0,0,0,1,0,0,1,2
RP11-334N17.1,0,0,0,0,0,0,0,0
RNU1-8P,0,0,0,0,0,0,0,0
CAMTA1-IT1,2,0,2,0,1,1,1,1
RP3-453P22.2,0,0,1,0,0,0,0,3
RP4-549F15.1,0,0,0,0,0,0,3,0
RP11-338N10.1,0,3,4,2,0,9,4,35
RP11-338N10.2,0,4,11,5,3,12,4,7
RP11-338N10.3,0,0,3,3,1,8,4,2
VAMP3,872,3026,8407,5724,3073,2273,8816,9321
RP3-467L1.6,11,63,27,52,8,13,80,119
PER3,2226,6869,1890,494,587,279,6794,5250
RP3-467L1.4,6,56,7,11,3,2,45,91
UTS2,0,7,0,1,0,0,4,0
TNFRSF9,3,10,39,92,10,5,10,0
RP5-892F13.2,0,0,0,0,0,0,0,0
PARK7,5666,5889,6767,5497,8435,8849,13543,11319
Y_RNA,2,1,0,2,1,0,1,2
ERRFI1,32063,163158,9296,9331,56252,51016,20339,22193
RP11-431K24.1,13,129,7,10,7,21,52,17
CTA-215D11.4,0,1,4,3,3,6,5,9
RP11-431K24.2,0,0,4,0,0,1,0,0
LINC01714,4,38,13,1,0,5,1,0
RNU1-7P,0,0,0,0,0,0,0,0
RP11-431K24.4,0,0,0,1,0,0,0,0
RNU6-991P,0,0,0,0,0,0,0,0
SLC45A1,7,30,339,75,87,67,671,471
RERE,3604,7120,15158,10777,13421,5984,24083,15945
RP5-1115A15.1,5,9,35,17,13,8,22,38
SNORA77,0,2,0,0,0,0,0,0
RP5-1115A15.2,0,0,0,2,0,1,3,1
RPL7P11,0,4,0,0,4,1,8,7
RPL7P7,1,2,0,0,1,0,5,5
RP4-633I8.3,0,0,0,1,0,0,0,2
RP4-633I8.4,0,0,0,0,0,0,0,0
RPL23AP19,0,0,1,0,0,0,0,0
ENO1,36544,18119,40391,36071,20619,15338,59564,19995
MIR6728,0,0,0,1,1,0,1,0
ENO1-IT1,1,2,13,60,0,4,10,1
ENO1-AS1,1,5,6,4,5,10,1,7
RNU6-304P,0,0,0,0,0,0,1,0
HMGN2P17,0,0,1,0,1,1,1,3
RP3-477M7.5,1,0,0,0,0,0,0,0
RP3-477M7.6,1,0,0,0,0,2,0,0
CA6,0,1,0,0,1,0,3,1
RN7SL451P,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,1,1,10,0
SLC2A5,12,22,70,137,236,47,780,189
SCARNA16,0,0,0,0,0,0,0,0
GPR157,442,1106,1140,1016,951,571,822,1660
MIR34AHG,222,453,835,1513,678,925,2212,1444
LINC01759,14,42,44,25,38,25,148,162
RP3-510D11.4,2,0,4,1,8,1,21,29
H6PD,13582,20893,10493,13345,10751,5766,42830,20681
SPSB1,2023,3929,1690,3101,3609,4307,4795,2807
RNA5SP40,2,0,0,0,0,0,0,0
RP13-392I16.1,2,34,0,0,0,0,0,0
SLC25A33,622,781,348,143,376,364,440,488
RP13-15M17.1,22,36,2,5,10,11,22,23
TMEM201,226,382,863,484,1256,845,3221,3288
PIK3CD,119,410,3685,3965,695,455,2434,3856
PIK3CD-AS1,0,0,23,8,0,0,4,0
RP11-558F24.2,0,0,0,1,0,0,0,1
PIK3CD-AS2,0,3,42,34,62,108,271,435
CLSTN1,497,1632,7319,6369,13125,11027,32612,21843
MZT1P1,0,0,0,0,0,0,0,0
RP11-84A14.7,0,2,3,1,2,4,2,6
CTNNBIP1,676,886,4109,723,2977,1307,1855,1983
LZIC,294,697,564,525,644,506,2951,1448
RP11-84A14.4,2,4,5,0,17,1,2,2
NMNAT1,250,659,398,204,424,368,829,413
RN7SKP269,1,1,4,2,5,1,3,2
RP11-84A14.6,0,0,2,0,3,0,2,0
MIR5697,0,0,0,0,0,0,0,0
RBP7,18,57,401,75,356,60,494,314
UBE4B,1582,2358,3672,2097,6698,3223,8954,7809
RP11-496H15.2,0,0,0,0,0,0,2,1
PGAM1P11,1,3,2,3,3,9,3,0
RNU6-828P,0,0,0,1,1,0,1,0
KIF1B,1621,4125,5233,4389,7536,4427,8404,8244
MIR1273D,0,0,0,0,0,0,0,0
RNU6-37P,0,0,0,1,0,0,1,2
PGD,1380,5128,10511,9340,2845,2403,7333,3543
RP4-736L20.3,0,0,2,0,0,0,1,0
CENPS,194,281,477,342,644,331,671,397
CORT,35,47,26,33,38,60,100,66
DFFA,1004,1874,1839,1652,2339,1624,6021,3811
PEX14,1225,2763,1400,957,1158,864,2218,2029
RN7SL614P,1,1,1,3,3,1,7,3
CASZ1,300,409,3441,2257,1100,767,605,214
RP4-734G22.3,82,131,285,460,96,57,109,67
HSPE1P24,0,0,0,0,0,0,0,0
C1orf127,2,14,21,4,162,409,17,2
CFL1P6,1,12,2,1,2,0,0,0
TARDBP,6710,11617,9037,9888,8547,5175,18662,17465
MASP2,12052,10767,283,163,329,177,383,340
RP4-635E18.8,141,385,505,190,433,511,524,839
SRM,3706,1741,2097,3305,10716,10870,4527,3614
EXOSC10,1027,2015,4180,2475,3936,2535,7044,7084
RP4-635E18.7,170,327,245,292,216,177,672,915
RP4-635E18.6,0,6,4,4,2,6,2,1
MTOR,2813,3385,4376,3043,4078,1953,6188,3501
MTOR-AS1,0,1,0,0,0,0,1,1
RNU6-537P,0,0,0,0,0,0,1,0
ANGPTL7,3,39,184,37,61,22,3,8
RNU6-291P,0,0,0,0,0,0,0,2
RPL39P6,0,0,0,0,0,1,0,2
UBIAD1,674,1277,1091,435,1865,1199,2421,1975
UBE2V2P3,6,0,1,2,5,3,3,3
MTCYBP45,0,0,0,0,0,0,0,0
DISP3,0,2,20,4,56,65,88,91
LINC01647,0,3,0,0,0,1,0,0
FBXO2,333,1651,589,562,4989,8456,193,840
FBXO44,673,2658,1886,1957,3048,2686,4080,5565
FBXO6,435,803,743,946,1183,934,716,835
MAD2L2,895,1169,1364,1745,3259,2789,1916,1536
DRAXIN,3,4,10,79,14,3,6,10
AGTRAP,509,902,4227,4931,6510,2429,1875,2348
C1orf167,2,5,0,1,1,2,21,22
RP11-56N19.5,0,0,0,0,0,0,1,0
MTHFR,1887,1528,4058,3098,1772,1832,7654,5707
CLCN6,1583,3148,3224,3651,1999,1625,8254,7990
NPPA-AS1,31,50,52,51,52,37,45,29
NPPA,126,188,175,65,55,25,66,41
NPPB,10,28,24,3,8,2,4,0
RP5-934G17.6,0,0,0,7,1,0,1,2
RNU5E-1,0,0,0,4,0,3,2,4
RNU5E-4P,0,0,0,0,0,0,0,0
KIAA2013,2076,5666,4372,2077,6904,5423,3969,3040
PLOD1,2535,7279,5673,4247,4154,4661,18184,7048
MFN2,4818,10325,8548,4163,4878,2977,10727,7037
RP5-1077B9.5,0,0,0,0,0,0,0,0
MIIP,1228,1359,2114,1776,2441,2542,3910,4436
MIR6729,0,0,0,0,0,0,0,0
RN7SL649P,0,0,0,0,0,0,0,1
TNFRSF8,8,4,231,171,26,4,95,11
RNU6-777P,0,0,0,0,0,0,0,0
RPL23AP89,0,0,0,0,0,0,3,0
MIR7846,0,0,0,0,0,0,0,0
TNFRSF1B,1356,2992,7546,27398,1405,382,3547,1665
MIR4632,0,0,0,0,0,0,0,0
RPL10P17,1,0,0,0,1,0,4,0
SNORA70,0,0,0,0,0,0,0,0
VPS13D,2259,3154,7341,8378,5636,3040,10348,6503
SNORA59A,2,3,2,18,6,3,18,12
RP5-888M10.2,32,43,4,1,7,1,4,5
DHRS3,10759,20693,4439,4512,8680,6618,3971,3106
RNU6ATAC18P,5,3,2,2,1,1,1,0
MIR6730,0,0,0,0,0,0,0,0
RP11-474O21.5,29,6,1,22,4,6,19,8
AADACL4,0,2,0,2,0,0,3,6
RP11-474O21.2,0,0,0,0,0,0,2,0
AADACL3,0,0,0,0,0,0,0,0
C1orf158,0,3,2,286,4,6,2,1
PRAMEF12,0,0,0,0,0,0,0,0
PRAMEF1,0,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0
PRAMEF11,0,0,0,0,0,0,0,0
PRAMEF30P,0,0,0,0,0,0,0,0
HNRNPCL1,1,4,2,4,2,5,9,7
PRAMEF2,0,0,0,0,0,0,0,0
PRAMEF4,0,4,0,0,0,0,0,0
PRAMEF10,0,31,0,0,0,0,0,0
PRAMEF7,0,0,0,0,0,0,0,1
RNU6-1072P,0,0,0,0,0,0,0,0
PRAMEF29P,0,0,0,0,0,0,0,0
PRAMEF6,0,0,0,0,0,0,0,0
PRAMEF28P,0,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,2,1,2,4
PRAMEF25,0,0,0,0,0,0,0,0
PRAMEF34P,0,0,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,0,0
HNRNPCL2,1,0,1,1,1,3,6,1
PRAMEF36P,0,0,0,0,0,0,0,0
RP13-221M14.2,0,0,0,0,0,0,0,0
PRAMEF26,0,0,0,0,0,0,0,0
HNRNPCL4,0,0,1,1,0,0,2,0
PRAMEF9,0,0,0,0,0,0,0,0
PRAMEF13,0,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0
PRAMEF31P,0,0,0,0,0,1,0,0
PRAMEF5,0,0,0,0,0,0,0,0
PRAMEF32P,0,0,0,0,0,0,0,0
RNU6-771P,0,0,0,0,0,0,0,0
PRAMEF8,1,0,0,0,0,0,0,0
PRAMEF33,0,23,1,0,0,0,0,0
PRAMEF15,0,2,0,0,0,0,0,0
RP11-219C24.10,0,0,0,0,0,0,0,0
PRAMEF14,0,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0
PRAMEF20,0,0,0,0,0,0,0,0
LRRC38,0,0,5,0,0,0,36,0
RP4-597A16.2,0,0,0,0,0,0,0,0
BRWD1P1,0,0,0,0,0,0,0,0
PDPN,10,29,3017,3716,892,224,6505,4101
RNA5SP41,0,0,0,0,0,0,0,0
CTA-520D8.2,0,0,0,0,0,0,1,6
SCARNA11,0,0,0,0,0,0,1,0
PRDM2,877,1583,4496,3441,2737,1885,13484,10089
KAZN,166,1002,2375,2576,518,306,3566,4152
RNU6-1265P,0,0,0,0,0,0,0,0
RP11-344F13.1,0,0,0,0,0,0,0,0
RP4-704D23.1,0,0,0,0,0,0,0,1
TBCAP2,0,0,0,0,0,0,0,1
TMEM51-AS1,3,22,52,53,974,621,292,1135
TMEM51,74,175,1231,1118,3520,2145,1620,2789
C1orf195,0,0,0,2,5,2,2,0
RP1-21O18.3,0,0,1,2,0,0,2,0
RP5-903E17.2,0,0,6,0,5,13,4,0
FHAD1,4,4,115,1138,84,87,37,47
RP3-467K16.2,2,3,4,55,29,13,36,13
RP3-467K16.7,0,0,0,6,7,12,10,11
RP3-467K16.4,1,4,46,46,24,15,0,14
EFHD2,1760,1922,7649,7645,11113,7633,5518,4308
CTRC,91,5,47,21,240665,576106,21,64
CELA2A,143,0,31,1,188027,394069,11,17
CELA2B,11,3,12,4,17924,50173,10,62
CASP9,282,1009,844,1239,1754,1805,5658,12512
DNAJC16,1278,2212,1230,1138,1575,1184,2310,1960
SCARNA21,0,0,0,0,0,0,0,0
RP4-680D5.8,41,91,2,3,3,3,2,4
AGMAT,2437,3589,19,5,31,33,30,10
RP4-680D5.2,17,1,4,16,14,6,18,31
CHCHD2P6,19,15,18,7,23,19,28,28
RNU7-179P,0,0,0,0,0,0,0,0
CD24P1,0,0,0,0,0,0,0,0
DDI2,3053,9600,3278,4074,3763,2489,3240,3356
RP4-680D5.9,0,0,7,0,0,1,4,5
PLEKHM2,1351,2163,8383,7715,6916,4019,8634,7389
RP11-288I21.1,15,16,46,94,37,39,140,74
SLC25A34,75,243,497,145,928,216,629,1169
TMEM82,1006,2209,2,1,1,1,3,0
RP11-169K16.4,0,4,3,0,2,2,1,0
FBLIM1,169,577,2759,4088,3636,1847,17019,5642
RPL12P14,9,4,10,0,3,7,13,10
UQCRHL,86,141,295,162,273,215,747,807
RP11-169K16.8,11,2,6,9,23,20,16,105
FLJ37453,100,159,345,203,358,209,733,624
SPEN,2475,6185,9342,10121,7751,5198,20112,14595
RP1-134O19.3,0,0,2,0,0,0,0,1
ZBTB17,861,1524,2847,3534,2934,2063,3831,3785
RP11-5P18.1,0,0,0,2,3,0,0,1
RP11-5P18.3,0,0,0,0,0,0,0,0
RP11-5P18.11,0,0,0,0,0,0,0,0
TBC1D3P6,0,0,0,0,0,1,0,0
C1orf64,1,0,0,0,2,2,0,1
HSPB7,53,198,1183,2025,423,529,1436,2407
CLCNKA,7,11,27,52,442,614,125,232
RP11-5P18.10,0,0,0,0,37,22,6,10
CLCNKB,1,5,19,2,152,50,126,190
FAM131C,2,3,4,4,220,343,12,68
EPHA2,861,2476,1860,1851,2099,934,690,1678
RP11-276H7.2,12,18,14,24,43,16,11,28
RP11-276H7.3,9,2,3,3,25,5,2,18
ARHGEF19,115,62,739,385,1046,936,1126,1346
ANO7L1,14,80,49,62,116,114,40,106
RSG1,80,152,185,141,189,211,613,539
MT1XP1,39,10,4,24,27,47,8,3
FBXO42,598,1646,2273,1953,2446,1526,3426,3805
SZRD1,2012,3123,5463,4378,4254,2944,11393,7005
RP11-430L17.1,0,0,2,5,0,5,1,9
SPATA21,1,101,2,0,3,8,8,10
NECAP2,846,1988,5300,5174,1824,1751,6388,5764
LINC01772,20,55,137,174,118,43,466,735
CROCCP3,43,168,390,534,331,261,1958,3024
RNU1-1,0,0,1,0,0,0,0,1
RP4-798A10.7,8,18,8,2,36,33,20,15
RP4-798A10.4,0,2,1,1,0,3,2,0
LINC01783,2,15,3,19,43,13,14,2
RNU1-6P,0,0,0,0,0,0,0,0
FAM231B,0,0,0,0,0,0,0,1
RP5-875O13.6,0,0,0,0,1,0,0,1
NBPF1,470,1387,849,619,489,676,4510,4242
RP5-1182A14.5,0,15,0,0,0,0,1,2
CROCCP2,6902,11610,2480,2437,2466,1530,6681,5827
MST1P2,17253,35093,465,193,734,927,431,236
RP1-163M9.8,0,0,0,1,0,0,0,0
RNU1-3,0,0,0,0,0,0,0,0
FAM231A,0,0,0,0,0,0,0,0
RP5-875O13.7,15,40,1,2,4,0,0,0
EIF1AXP1,22,28,1,7,12,3,20,13
ESPNP,21,44,2,21,21,21,0,2
RP1-163M9.7,0,0,0,0,0,0,0,0
FAM231C,0,0,0,0,0,0,0,0
RP5-1182A14.7,0,0,0,0,0,0,0,0
RNU1-4,0,0,0,0,0,0,0,0
CROCCP4,0,0,0,0,1,2,2,4
MST1L,5398,3668,695,163,1619,3210,372,232
RP11-108M9.1,0,0,0,0,0,0,0,1
RP11-108M9.2,1,0,0,5,0,0,3,0
MIR3675,0,0,0,0,0,0,0,0
RP11-108M9.3,14,62,19,14,232,121,86,45
RP11-108M9.4,28,90,39,54,252,160,33,26
RP11-108M9.5,7,19,18,21,58,61,18,30
RNU1-2,0,0,1,0,0,1,0,0
RP11-108M9.6,0,8,0,1,0,0,4,26
CROCC,566,947,2500,2955,3601,3992,5313,7320
MFAP2,0,29,339,346,1252,470,2506,3027
RP1-37C10.3,0,0,1,3,1,1,4,4
ATP13A2,374,603,3484,1918,6830,10061,2193,2202
SDHB,4756,6037,3611,1791,3988,3487,2751,1816
PADI2,50,80,701,1924,258,85,33,12
RP11-380J14.1,2,0,0,0,0,0,1,0
RP11-380J14.4,0,0,0,0,0,0,0,0
PADI1,13,20,2,0,5,9,11,3
PADI3,0,0,3,0,0,1,4,8
MIR3972,0,0,0,0,0,0,0,0
PADI4,89,33,2388,1588,16,15,3,6
PADI6,0,0,2,0,0,0,479,1
RCC2,837,1978,3475,2918,3259,2523,9414,4223
ARHGEF10L,7604,16424,2713,3493,10913,7736,2689,2731
RP11-473A10.2,0,0,0,0,0,0,0,0
ACTL8,0,0,0,2,0,0,52,0
LINC01654,0,0,0,0,0,0,0,0
